2097,Barbados,0,1,BGI,0.00
2102,San Cristobal,0,6,SCY,0.00
2107,Bukhara,0,1,BUK,0.00
2112,Chengdu,0,1,CTU,0.00
2117,Palma,0,1,PMI,0.00
2122,Seattle,0,3,SEA,0.00
2127,Wrangell,0,3,NULL,0.00
2132,Petersburg (Alaska),0,3,NULL,0.00
2137,Rurrenabaque,0,6,RBQ,0.00
2142,Miami,0,1,MIA,0.00
2147,Los Mochis,0,6,LMM,0.00
2152,Sukhothai,0,1,THS,0.00
2157,Kilimanjaro,0,3,NULL,0.00
2162,Brasilia,0,3,BSB,0.00
2167,Sao Paulo,0,3,GRU,0.00
2172,Campo Grande,0,3,CGR,0.00
2177,Rio de Janeiro,0,3,GIG,0.00
2182,Kuala Terengganu,0,3,TGG,0.00
2187,Antarctica,0,6,NULL,0.00
2192,Sandakan,0,3,SDK,0.00
2197,Tamarindo,0,6,TNO,0.00
2202,Flores,0,6,FRS,0.00
2207,New York La Guardia,0,6,LGA,0.00
2212,San Jose Del Cabo,0,3,NULL,0.00
2217,Puerto Madryn,0,6,PMY,0.00
2222,Guiyang,0,1,KWE,0.00
2227,,0,1,NULL,0.00
2232,Ulaan Gom,0,1,NULL,0.00
2237,New York, Newark,0,6,NULL,0.00
2242,minneapolis,0,3,MSP,0.00
2247,Anchorage,0,3,NULL,0.00
2252,Tacna,0,6,TCQ,0.00
2257,Puerto Williams,0,6,NULL,0.00
2262,Southampton,1,3,SOU,0.00
2267,Papeete,0,6,NULL,0.00
2272,Chennai,0,3,MAA,0.00
2277,Popayan,0,6,NULL,0.00
2282,Gabarone,0,3,GBE,0.00
2287,San Pedro,0,6,NULL,0.00
2292,Corozal,0,6,CZH,0.00
2297,Cincinnati,0,6,NULL,0.00
2302,Acapulco,0,6,ACA,0.00
2307,Bombay,0,3,BOM,0.00
2312,Stockholm,0,3,ARN,0.00
2317,Stockholm,0,3,ARN,0.00
2322,East Midlands,1,3,NULL,0.00
2327,Ilheus,0,6,IOS,0.00
2332,Shannon,0,6,SNN,0.00
2337,Bangkok,0,6,BKK,0.00
2342,Bombay,0,6,BOM,0.00
2347,Las Vegas,0,6,NULL,0.00
2352,Leon,0,6,NULL,0.00
2357,Tampa,0,3,TPA,0.00
2362,Detroit,0,3,NULL,0.00
2367,Raleigh Durham,0,6,RDU,0.00
2372,San Juan,0,6,NULL,0.00
2377,Lisbon,0,3,LIS,0.00
2382,Sao Miguel,0,3,PDL,0.00
2387,Horta,0,3,NULL,0.00
2392,Pico,0,3,NULL,0.00
2397,Chelyabinsk,0,1,NULL,0.00
2402,Pakse,0,1,PAK,0.00
2407,Merimbula,0,1,NULL,0.00
2412,Christchurch,0,1,NULL,0.00
2417,Rotorua,0,1,NULL,0.00
2422,Queenstown,0,1,NULL,0.00
2427,Los Angeles,0,1,LAX,0.00
2432,Guernsey,0,3,GCI,0.00
2437,Nassau,0,6,NULL,0.00
2442,Salvador,0,3,SSA,0.00
2447,Aberdeen,0,2,ABZ,0.00
